UniqueId,Name,Manufacturer,Type,Approved Crop,Min Application Rate,Min Rate UoM,Max Application Rate,Max Rate UoM
ecc5388a-668e-49f8-b72c-aeff1003c933,Tilt,Syngenta,Fungicide,Wheat,4.0,fl oz/acre,8.0,fl oz/acre
68361508-053d-4165-b6ed-52097a802b6e,Tilt,Syngenta,Fungicide,Barley,4.0,fl oz/acre,8.0,fl oz/acre
b5fa21b1-5cd3-4de1-84cd-05ce77a38039,Quilt Xcel,Syngenta,Fungicide,Corn,10.5,fl oz/acre,14.0,fl oz/acre
38127c8f-6edd-43f4-aa9a-634ada5aa2b9,Quilt Xcel,Syngenta,Fungicide,Soybeans,10.5,fl oz/acre,14.0,fl oz/acre
fa6ac38d-8035-4258-8fb7-deed052e3c10,Quilt Xcel,Syngenta,Fungicide,Wheat,10.5,fl oz/acre,14.0,fl oz/acre
3f928b48-55e3-451f-ac52-77c9b5c19d0f,Quilt Xcel,Syngenta,Fungicide,Barley,10.5,fl oz/acre,14.0,fl oz/acre
889918e0-e283-412c-a26d-0ad6bd92bdce,Stratego,Bayer,Fungicide,Corn,10.0,fl oz/acre,12.0,fl oz/acre
4070351f-466a-4746-919e-44f51b958a49,Stratego,Bayer,Fungicide,Soybeans,10.0,fl oz/acre,12.0,fl oz/acre
3db62e12-1535-40f5-bd5d-466fbc1b47b2,Stratego,Bayer,Fungicide,Wheat,10.0,fl oz/acre,12.0,fl oz/acre
b21ce17c-0bdd-417c-a8e3-a0e1b5f374dd,Stratego,Bayer,Fungicide,Barley,10.0,fl oz/acre,12.0,fl oz/acre
080802fb-815d-40d4-b272-c960b3a89eb6,Stratego,Bayer,Fungicide,Oats,10.0,fl oz/acre,12.0,fl oz/acre
dc054317-08d7-4251-bc31-9282e6cf0d5f,Zolera FX,UPL NA Inc.,Fungicide,Corn,4.4,fl oz/acre,6.8,fl oz/acre
fddcb6f4-335f-401e-8776-9da0c256039d,Zolera FX,UPL NA Inc.,Fungicide,Soybeans,4.4,fl oz/acre,6.8,fl oz/acre
aad45d03-12c5-489c-93af-3e54956884bf,Zolera FX,UPL NA Inc.,Fungicide,Wheat,4.4,fl oz/acre,6.8,fl oz/acre
ec7f7295-133f-44a7-88d3-40da2b759149,Zolera FX,UPL NA Inc.,Fungicide,Barley,4.4,fl oz/acre,6.8,fl oz/acre
cb2bbad6-a119-4a41-afc5-2369916c3675,Adastrio,FMC,Fungicide,Corn,7.0,fl oz/acre,9.0,fl oz/acre
4728f1e5-02dc-4dc5-b1f0-7fc4330c73d1,Adastrio,FMC,Fungicide,Wheat,7.0,fl oz/acre,9.0,fl oz/acre
44a08acd-e15a-488e-a441-1bb209b9893f,Adastrio,FMC,Fungicide,Barley,7.0,fl oz/acre,9.0,fl oz/acre
682f7787-17dd-426b-a658-91018bd8a1c7,Priaxor,BASF,Fungicide,Soybeans,4.0,fl oz/acre,8.0,fl oz/acre
b6e385d0-ce15-4fc4-b2e4-375ed402a7ea,Priaxor,BASF,Fungicide,Wheat,4.0,fl oz/acre,8.0,fl oz/acre
fc5658b6-7a3e-4eff-8c49-fe87bec62423,Priaxor,BASF,Fungicide,Barley,4.0,fl oz/acre,8.0,fl oz/acre
448be131-d7be-40c8-a88a-374cceb934a1,Priaxor,BASF,Fungicide,Oats,4.0,fl oz/acre,8.0,fl oz/acre
66214575-6700-4e51-a32c-391a5d0849bf,Aproach,Corteva,Fungicide,Corn,6.0,fl oz/acre,12.0,fl oz/acre
3350c3f5-1c87-4378-9c5e-d001847cb7b0,Aproach,Corteva,Fungicide,Soybeans,6.0,fl oz/acre,12.0,fl oz/acre
1a142638-17de-4d59-b8dd-469896cf067d,Aproach,Corteva,Fungicide,Wheat,6.0,fl oz/acre,12.0,fl oz/acre
de225e83-5eb9-4dcc-ba2f-fe7c9a4a99d8,Aproach,Corteva,Fungicide,Barley,6.0,fl oz/acre,12.0,fl oz/acre
