UniqueId,Name,Manufacturer,Type,Approved Crop,Min Application Rate,Min Rate UoM,Max Application Rate,Max Rate UoM
f173a5fe-cda2-41bd-9560-8e383924c41f,Peak,Syngenta,Herbicide,Wheat,0.25,oz/acre,0.38,oz/acre
eb8655f2-7b1c-4147-8413-a70511a4f307,Peak,Syngenta,Herbicide,Barley,0.25,oz/acre,0.38,oz/acre
99b23f26-4c63-4f0a-ba5f-02db56cf39b2,Harmony GT XP,FMC,Herbicide,Wheat,0.3,oz/acre,0.6,oz/acre
d5abaca0-6e77-484a-b39f-9ef03e45af0c,Harmony GT XP,FMC,Herbicide,Barley,0.3,oz/acre,0.6,oz/acre
e86cb783-0939-4dcb-b52a-d68452a5ae1e,Harmony GT XP,FMC,Herbicide,Oats,0.3,oz/acre,0.6,oz/acre
98fc1b49-538e-4e24-8914-b087d1eb094b,Harmony GT XP,FMC,Herbicide,Corn,0.3,oz/acre,0.6,oz/acre
63bd945f-fa1b-4e23-8322-fbab2c49b165,Harmony GT XP,FMC,Herbicide,Soybeans,0.3,oz/acre,0.6,oz/acre
439cfacc-08df-403d-8a2f-7aede0817f10,Sequence,Syngenta,Herbicide,Corn,2.5,pt/acre,3.5,pt/acre
ffec73c3-a3ee-482a-8dab-4454a55f9832,Sequence,Syngenta,Herbicide,Soybeans,2.5,pt/acre,3.5,pt/acre
17bbb9e6-6e28-4a5e-a7aa-ec970f18ae35,Aim EC,FMC,Herbicide,Corn,0.5,oz/acre,2.0,oz/acre
5bf772a7-a7b8-4e33-b19c-abb264f4da3d,Aim EC,FMC,Herbicide,Soybeans,0.5,oz/acre,2.0,oz/acre
b80bb709-e64a-4a50-be21-a197a16db071,Liberty,BASF,Herbicide,Corn,22.0,fl oz/acre,36.0,fl oz/acre
26625276-8ad3-483e-858d-82dd4dd0b7ff,Liberty,BASF,Herbicide,Soybeans,22.0,fl oz/acre,36.0,fl oz/acre
2812c50f-0f1f-4b64-ad55-4536be49686c,SureStart II,Corteva Agriscience,Herbicide,Corn,1.5,pt/acre,2.0,pt/acre
986ed8ed-bf48-4413-a085-e4b99aab9add,Banvel,BASF,Herbicide,Sorghum,0.5,pt/acre,1.0,pt/acre
8b7c656a-3bb5-4f65-8bba-298f7717397a,Sterling Blue,Albaugh,Herbicide,Corn,0.5,pt/acre,1.0,pt/acre
0a81b15d-4358-41f6-9ee1-9ba9c3cc7f39,Sterling Blue,Albaugh,Herbicide,Soybeans,0.5,pt/acre,1.0,pt/acre
3fad28ed-365a-4dbd-86d0-9ed58926479d,Sterling Blue,Albaugh,Herbicide,Wheat,0.5,pt/acre,1.0,pt/acre
a3fac886-8b53-477e-afae-c25827a687d0,Sterling Blue,Albaugh,Herbicide,Barley,0.5,pt/acre,1.0,pt/acre
46bc3b39-5b14-4df8-b4ba-17f738b0c213,Sterling Blue,Albaugh,Herbicide,Oats,0.5,pt/acre,1.0,pt/acre
e49f0a99-4317-458b-8919-5d2da3d79f7f,Sterling Blue,Albaugh,Herbicide,Sorghum,0.5,pt/acre,1.0,pt/acre
4e93edb7-1034-4c42-8b0f-84ed86117cd7,Roundup PowerMAX,Bayer,Herbicide,Corn,22.0,fl oz/acre,44.0,fl oz/acre
d5ad5d6a-a0de-49bb-8315-708972bd3e47,Roundup PowerMAX,Bayer,Herbicide,Soybeans,22.0,fl oz/acre,44.0,fl oz/acre
7e36a91a-4920-48d7-b0e5-f3a63570bcc0,Roundup PowerMAX,Bayer,Herbicide,Wheat,16.0,fl oz/acre,32.0,fl oz/acre
